date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:44	3591/3591	---MCZ	200	added ('OK')	text/html	etag:W/%225bf523f1-e07%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/login.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/login.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:44	4943/4943	---MCZ	200	added ('OK')	text/html	etag:W/%225bf523f1-134f%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/login-2.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/login-2.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:44	3896/3896	---MCZ	200	added ('OK')	text/html	etag:W/%225bf523f1-f38%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/register.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/register.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:45	5421/5421	---MCZ	200	added ('OK')	text/html	etag:W/%225bf523f1-152d%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/register-2.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/register-2.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:45	2604/2604	---MCZ	200	added ('OK')	text/html	etag:W/%225bf523f1-a2c%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/lock-screen.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/lock-screen.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:45	2618/2618	---MCZ	200	added ('OK')	text/html	etag:W/%225bf523f1-a3a%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/error-404.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/error-404.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:46	2593/2593	---MCZ	200	added ('OK')	text/html	etag:W/%225bf523f1-a21%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/error-500.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/error-500.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:46	26301/26301	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-66bd%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/blank-page.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/blank-page.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:46	37243/37243	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-917b%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/profile.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/profile.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:47	39966/39966	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-9c1e%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/faq.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/samples/faq.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
